X Y Z TIME
 0.49138174E+04  0.16517833E+06  0.10001000E+03  0.00000000E+00 
 0.48224649E+04  0.16507387E+06  0.90492316E+02  0.50605319E+05 
 0.47928583E+04  0.16499633E+06  0.30492315E+02  0.83039195E+05 
 0.47896311E+04  0.16489464E+06  0.48589214E+00  0.15928518E+06 
 0.47865029E+04  0.16479427E+06  0.47793461E+00  0.23205776E+06 
 0.47834287E+04  0.16469387E+06  0.46859732E+00  0.30251243E+06 
 0.47804061E+04  0.16459347E+06  0.45801634E+00  0.37079259E+06 
 0.47774326E+04  0.16449305E+06  0.44631137E+00  0.43702870E+06 
 0.47745060E+04  0.16439262E+06  0.43358812E+00  0.50133981E+06 
 0.47716241E+04  0.16429218E+06  0.41994027E+00  0.56383490E+06 
 0.47687853E+04  0.16419173E+06  0.40545110E+00  0.62461392E+06 
 0.47659875E+04  0.16409126E+06  0.39019487E+00  0.68376879E+06 
 0.47632292E+04  0.16399078E+06  0.37423801E+00  0.74138426E+06 
 0.47636081E+04  0.16396216E+06  0.10037424E+03  0.76316211E+06 
 0.48885722E+04  0.16582782E+06  0.10001000E+03  0.00000000E+00 
 0.48122325E+04  0.16575966E+06  0.94567557E+02  0.37756240E+05 
 0.47730148E+04  0.16567421E+06  0.49567557E+02  0.81412846E+05 
 0.47237250E+04  0.16554999E+06  0.45704202E+01  0.14293468E+06 
 0.46891230E+04  0.16544659E+06  0.45733105E+01  0.19234739E+06 
 0.46594489E+04  0.16534308E+06  0.45762184E+01  0.24023298E+06 
 0.46338772E+04  0.16523946E+06  0.45791367E+01  0.28668453E+06 
 0.46117401E+04  0.16513572E+06  0.45820594E+01  0.33178686E+06 
 0.45924942E+04  0.16503188E+06  0.45849815E+01  0.37561747E+06 
 0.45805778E+04  0.16492969E+06  0.28398050E+01  0.43484226E+06 
 0.45742071E+04  0.16482932E+06  0.28967320E+01  0.50846051E+06 
 0.45679478E+04  0.16472893E+06  0.29518373E+01  0.57970745E+06 
 0.45617945E+04  0.16462853E+06  0.30052775E+01  0.64873137E+06 
 0.45557422E+04  0.16452812E+06  0.30571912E+01  0.71566704E+06 
 0.45497864E+04  0.16442769E+06  0.31077013E+01  0.78063737E+06 
 0.45439227E+04  0.16432726E+06  0.31569171E+01  0.84375469E+06 
 0.45381472E+04  0.16422681E+06  0.32049365E+01  0.90512200E+06 
 0.45324562E+04  0.16412635E+06  0.32518470E+01  0.96483394E+06 
 0.45268462E+04  0.16402587E+06  0.32977276E+01  0.10229776E+07 
 0.45241837E+04  0.16396195E+06  0.85477688E+02  0.10618901E+07 
 0.45007071E+04  0.16757165E+06  0.10001000E+03  0.00000000E+00 
 0.44010156E+04  0.16751680E+06  0.95010000E+02  0.32086430E+06 
 0.43037399E+04  0.16747288E+06  0.95010000E+02  0.64188275E+06 
 0.42090175E+04  0.16743779E+06  0.95010000E+02  0.96290119E+06 
 0.41016454E+04  0.16740565E+06  0.95010000E+02  0.13374227E+07 
